a_probe_test_mean,a_probe_test_std,b_probe_test_mean,b_probe_test_std,cell_id_probe_test_mean,cell_id_probe_test_std,cross_cell_s_transfer_mean,cross_cell_s_transfer_min,cross_cell_s_transfer_std,heldout_accuracy,heldout_loss,layer,mode_a_probe_test_mean,mode_a_probe_test_std,mode_b_probe_test_mean,mode_b_probe_test_std,offdiag_cell_s_transfer_mean,output_mode_probe_test_mean,output_mode_probe_test_std,s_permutation_control_mean,s_probe_test_mean,s_probe_test_std,same_cell_s_transfer_mean,step,train_eval_accuracy,train_eval_loss,wrap_probe_test_mean,wrap_probe_test_std
0.37856531143188477,0.013932062332476576,0.10556411594152451,0.00558850090761854,0.7671859979629516,0.002399994087615923,0.009718021518833149,0.0,0.003422308483545659,0.0054931640625,3.543971709907055,-1,0.9982765436172485,0.0003450545337426877,0.998835813999176,0.0002617764325411466,0.009907418509190398,0.7648576021194458,0.00246083709665007,0.010032528825104237,0.005877988878637552,0.0010189448765213175,0.0047936997695446565,1000,0.012939453125,3.4805397912859917,0.6602864742279053,0.005284294883013735
0.2622267872095108,0.015583429370519913,0.12346059381961823,0.006599828152576554,0.7170461773872375,0.0018369736779709253,0.02386915840333729,0.0,0.030493068659875222,0.04248046875,2.8988694846630096,-1,0.9610683202743531,0.0026867817532593694,0.9538777589797973,0.0029623584409977114,0.02324549291383056,0.7103692293167114,0.002928063743376174,0.010911373607814311,0.04016435667872429,0.001997016430495979,0.040084461130512256,2000,0.1419677734375,2.5619856640696526,0.7993836522102356,0.00472300997842637
0.30463961362838743,0.011465347848939177,0.12833418995141982,0.009238115820388675,0.675477945804596,0.003671298184258017,0.030425620443233645,0.0,0.04410882324308564,0.0631103515625,3.0408530458807945,-1,0.8858414649963379,0.0032324112819568382,0.928048849105835,0.0029770318676397988,0.0295352481228984,0.7096615791320801,0.0016784565914958677,0.011219540238380432,0.049226731061935425,0.003846999633169581,0.05357530077195002,3000,0.24755859375,2.2434761598706245,0.7852194309234619,0.005613419379136227
0.3040917694568634,0.011098055261303481,0.14919819235801696,0.006130755813532512,0.5968955159187317,0.013069891515181448,0.04457464369125051,0.0,0.07188361871017855,0.1328125,3.105101354420185,-1,0.8252924680709839,0.0035059629638148205,0.8820521593093872,0.0043411177179668945,0.04302564978863556,0.6733550190925598,0.013415696847254138,0.009587399382144212,0.07361753135919571,0.0015064190978721847,0.08484848515923929,4000,0.4130859375,1.9285133257508278,0.7552473902702331,0.004555056610862678
0.2950408041477203,0.01206393696294651,0.1736346513032913,0.005976460899358018,0.6198938488960266,0.0036390505097533147,0.08698620435108516,0.0,0.15786024932330278,0.238525390625,2.7873317301273346,-1,0.7946584343910217,0.002988614537776437,0.8493751049041748,0.003015562485787852,0.08325497480275168,0.6647035241127014,0.014722121750575544,0.010694516077637672,0.16831592619419097,0.0022880126351054525,0.18399817260775578,5000,0.453125,1.7982352077960968,0.7319979548454285,0.005749478495772643
0.30518746972084043,0.01071596203266204,0.18624664545059205,0.005992569611377955,0.5724476337432861,0.002421989499491353,0.10099826442133329,0.0,0.18600229195639603,0.2628173828125,2.873690888285637,-1,0.7630885124206543,0.004618005120169492,0.8043942213058471,0.005836292276508133,0.09658207426768359,0.6858757138252258,0.0156727329602543,0.009667294472455979,0.2021685779094696,0.003172602926015668,0.21581920841622546,6000,0.4541015625,1.7358818650245667,0.720070767402649,0.00913182373498056
0.2988186955451965,0.009338454880969146,0.20256805121898652,0.005384933484174421,0.5628031611442565,0.013424367879861674,0.10462693470228075,0.0,0.19386539278669696,0.2716064453125,2.8243518248200417,-1,0.7471551775932312,0.003456370913177779,0.7800947308540345,0.005544537795804483,0.10005355596388464,0.6248016834259034,0.014417630681790049,0.011242367140948773,0.21662957072257996,0.004385992667472299,0.22353478190057946,7000,0.4578857421875,1.7077999711036682,0.710894250869751,0.0034141788765218615
0.2801232635974884,0.009066470294754478,0.21118529736995698,0.0053096510806184185,0.5408891201019287,0.0005831140360774816,0.11287936930450776,0.0,0.21121549098452236,0.2911376953125,2.8161263838410378,-1,0.7513097047805786,0.0033772243198965973,0.7492438435554505,0.0030936856448876113,0.10786482835711879,0.6604120254516601,0.0006024288153200762,0.011036922968924046,0.24787992537021636,0.0038347894447311555,0.24325743393662075,8000,0.458984375,1.6857991330325603,0.7109969735145569,0.002674379447264538
0.25378074049949645,0.004997004609041372,0.20946184992790223,0.008828937334447947,0.5331621289253234,0.0035139422740155966,0.1363972430398486,0.0,0.25748081055226013,0.3367919921875,2.8342511504888535,-1,0.7517890691757202,0.0037924366528029967,0.7427837729454041,0.002959049006751454,0.13016694547940827,0.6990926265716553,0.0008917248710499439,0.012178279832005501,0.2996632993221283,0.005794902932449184,0.2983849796112972,9000,0.460205078125,1.6561619341373444,0.6997089624404907,0.006919117161047113
0.2451292634010315,0.015943972514990464,0.33914284110069276,0.008851983202849347,0.4304856538772583,0.0014857785953969992,0.012371042640707283,0.0,0.008579861930629092,0.341064453125,2.7325597926974297,0,0.9351252794265748,0.004357896261879839,0.9392683863639831,0.0027585465548626404,0.012280563266743559,0.4393996477127075,0.001250083319798062,0.010329281352460385,0.017371455021202565,0.0018427173466578574,0.014723506363764129,10000,0.45751953125,1.6688916459679604,0.7717742323875427,0.00509963680197956
