accuracy_drop_vs_clean,accuracy_gain_vs_corrupt,band,clean_accuracy,clean_baseline_accuracy,clean_baseline_margin,clean_logprob,clean_loss,clean_minus_corrupt_margin,corrupt_accuracy,corrupt_baseline_clean_accuracy,corrupt_baseline_margin,corrupt_logprob,delta,intervention,margin_drop_vs_clean,margin_gain_vs_corrupt,margin_recovery,n
0.32143941694503486,0.5733373823261464,core_3_6,0.5911023382933496,0.9125417552383844,1.2420188794916538,-0.7970020654459982,0.7970020886145208,0.21626143306358006,0.3994837534163377,0.017764955967203157,-2.0646504466742903,-1.0132635112522657,1,ablate_band_all_layers,1.0257574464280736,2.2809118797378702,0.6897913443260952,6586.0
0.8947767992711813,0.0,full_1_21,0.017764955967203157,0.9125417552383844,1.2420188794916538,-2.4938843440690954,2.493884306999459,-2.0646504466742903,0.9339508047373216,0.017764955967203157,-2.0646504466742903,-0.42923394604870296,1,ablate_band_all_layers,3.3066693261659443,0.0,0.0,6586.0
0.097479501973884,0.7972972972972973,high_14_21,0.8150622532645004,0.9125417552383844,1.2420188794916538,-0.5991942275088137,0.5991942089739956,0.8343117879293553,0.16368053446705133,0.017764955967203157,-2.0646504466742903,-1.4335059691011236,1,ablate_band_all_layers,0.40770709156229845,2.898962234603646,0.8767015835735134,6586.0
0.20513209839052537,0.6896447008806559,low_1_5,0.7074096568478591,0.9125417552383844,1.2420188794916538,-0.6941799762724672,0.6941799901735808,0.4642118656124853,0.2801396902520498,0.017764955967203157,-2.0646504466742903,-1.1583918604197707,1,ablate_band_all_layers,0.7778070138791685,2.5288623122867757,0.7647762938603149,6586.0
0.8703310051624659,0.02444579410871546,lowmid_1_13,0.04221075007591862,0.9125417552383844,1.2420188794916538,-2.146068157123064,2.146068129320837,-1.6569433041412418,0.915122988156696,0.017764955967203157,-2.0646504466742903,-0.48912485761552676,1,ablate_band_all_layers,2.8989621836328956,0.4077071425330485,0.12329843184101555,6586.0
0.7676890373519587,0.1270877619192226,mid_6_13,0.14485271788642576,0.9125417552383844,1.2420188794916538,-1.4589637457473714,1.4589637457473714,-0.8791363273317098,0.834041907075615,0.017764955967203157,-2.0646504466742903,-0.579827464752707,1,ablate_band_all_layers,2.1211552068233637,1.1855141193425807,0.3585221267701341,6586.0
0.8036744609778317,0.09110233829334954,core_3_6,0.1088672942605527,0.9125417552383844,1.2420188794916538,-1.5539939271038947,1.553993852964622,-1.0388929666518585,0.8727604008502885,0.017764955967203157,-2.0646504466742903,-0.5151009419172179,1,restore_band_all_layers,2.2809118461435123,1.0257574800224318,0.31020866583348056,6586.0
0.0,0.8947767992711813,full_1_21,0.9125417552383844,0.9125417552383844,1.2420188794916538,-0.5068942364537169,0.5068942295031601,1.2420188794916538,0.06164591557849985,0.017764955967203157,-2.0646504466742903,-1.7489131089948138,1,restore_band_all_layers,0.0,3.3066693261659443,1.0,6586.0
0.8703310051624659,0.02444579410871546,high_14_21,0.04221075007591862,0.9125417552383844,1.2420188794916538,-2.146068157123064,2.146068129320837,-1.6569433041412418,0.915122988156696,0.017764955967203157,-2.0646504466742903,-0.48912485761552676,1,restore_band_all_layers,2.8989621836328956,0.4077071425330485,0.12329843184101555,6586.0
0.8434558153659277,0.051320983905253574,low_1_5,0.06908593987245673,0.9125417552383844,1.2420188794916538,-1.7536851296191733,1.7536851388865824,-1.2868434466962353,0.9090494989371394,0.017764955967203157,-2.0646504466742903,-0.4668417292599833,1,restore_band_all_layers,2.5288623261878893,0.777806999978055,0.23522370193572267,6586.0
0.097479501973884,0.7972972972972973,lowmid_1_13,0.8150622532645004,0.9125417552383844,1.2420188794916538,-0.5991942275088137,0.5991942089739956,0.8343117879293553,0.16368053446705133,0.017764955967203157,-2.0646504466742903,-1.4335059691011236,1,restore_band_all_layers,0.40770709156229845,2.898962234603646,0.8767015835735134,6586.0
0.4034315214090495,0.4913452778621318,mid_6_13,0.509110233829335,0.9125417552383844,1.2420188794916538,-0.8696284892165911,0.8696284892165911,0.05650479808752927,0.47676890373519587,0.017764955967203157,-2.0646504466742903,-0.9261333003364144,1,restore_band_all_layers,1.1855140814041245,2.1211552447618196,0.64147788470318,6586.0
0.6835712116610992,0.2283631946553295,core_3_6,0.22897054357728516,0.9125417552383844,5.163959668828766,-1.467840932040384,1.4678408579011113,1.1626168119845839,0.030063771636805344,0.0006073489219556636,-6.87613914992503,-2.6304577440249677,2,ablate_band_all_layers,4.0013428568441824,8.038755961909613,0.6676652810679888,6586.0
0.9119344063164287,0.0,full_1_21,0.0006073489219556636,0.9125417552383844,5.163959668828766,-7.295427245352357,7.295427467770176,-6.87613914992503,0.9398724567263893,0.0006073489219556636,-6.87613914992503,-0.41928814176437235,2,ablate_band_all_layers,12.040098818753796,0.0,0.0,6586.0
0.20513209839052537,0.7068023079259034,high_14_21,0.7074096568478591,0.9125417552383844,5.163959668828766,-0.7495152774350896,0.7495152681676805,3.9391782721812842,0.005314303067112056,0.0006073489219556636,-6.87613914992503,-4.688693531081555,2,ablate_band_all_layers,1.2247813966474816,10.815317422106315,0.8982748052914858,6586.0
0.5528393562101427,0.35909505010628606,low_1_5,0.35970239902824175,0.9125417552383844,5.163959668828766,-1.1100114995572403,1.1100115041909449,2.103270112798455,0.010628606134224112,0.0006073489219556636,-6.87613914992503,-3.2132815428501273,2,ablate_band_all_layers,3.0606895560303107,8.979409262723486,0.7457919904060135,6586.0
0.9104160340115396,0.001518372304889159,lowmid_1_13,0.0021257212268448226,0.9125417552383844,5.163959668828766,-6.202893500120996,6.202893463051359,-5.651357734742731,0.8830853325235347,0.0006073489219556636,-6.87613914992503,-0.5515357769625259,2,ablate_band_all_layers,10.815317403571497,1.2247814151822993,0.10172519624793824,6586.0
0.8956878226541147,0.016246583662313997,mid_6_13,0.016853932584269662,0.9125417552383844,5.163959668828766,-3.5930629698947105,3.593062932825074,-2.5906681601776023,0.4597631339204373,0.0006073489219556636,-6.87613914992503,-1.002394902391199,2,ablate_band_all_layers,7.754627829006369,4.285470989747427,0.35593320738134876,6586.0
0.9046462192529608,0.007288187063467962,core_3_6,0.007895535985423625,0.9125417552383844,5.163959668828766,-3.810477981080844,3.8104780552201167,-2.874796265278621,0.5136653507440024,0.0006073489219556636,-6.87613914992503,-0.9356816740988816,2,restore_band_all_layers,8.038755934107387,4.001342884646409,0.3323347212411472,6586.0
0.0,0.9119344063164287,full_1_21,0.9125417552383844,0.9125417552383844,5.163959668828766,-0.5068942364537169,0.5068942295031601,5.163959668828766,0.0,0.0006073489219556636,-6.87613914992503,-5.6708540651452894,2,restore_band_all_layers,0.0,12.040098818753796,1.0,6586.0
0.9104160340115396,0.001518372304889159,high_14_21,0.0021257212268448226,0.9125417552383844,5.163959668828766,-6.202893500120996,6.202893463051359,-5.651357734742731,0.8830853325235347,0.0006073489219556636,-6.87613914992503,-0.5515357769625259,2,restore_band_all_layers,10.815317403571497,1.2247814151822993,0.10172519624793824,6586.0
0.907986638323717,0.003947767992711813,low_1_5,0.004555116914667477,0.9125417552383844,5.163959668828766,-4.5122100709601805,4.512210200703908,-3.8154495568250835,0.6951108411782569,0.0006073489219556636,-6.87613914992503,-0.696760504867688,2,restore_band_all_layers,8.97940922565385,3.0606895930999465,0.25420801267283466,6586.0
0.20513209839052537,0.7068023079259034,lowmid_1_13,0.7074096568478591,0.9125417552383844,5.163959668828766,-0.7495152774350896,0.7495152681676805,3.9391782721812842,0.005314303067112056,0.0006073489219556636,-6.87613914992503,-4.688693531081555,2,restore_band_all_layers,1.2247813966474816,10.815317422106315,0.8982748052914858,6586.0
0.741724870938354,0.1702095353780747,mid_6_13,0.17081688430003036,0.9125417552383844,5.163959668828766,-1.626803400738783,1.6268033451343284,0.8784886790813373,0.05982386881263286,0.0006073489219556636,-6.87613914992503,-2.50529207982012,2,restore_band_all_layers,4.285470989747429,7.754627829006367,0.6440667926186511,6586.0
0.8619799574855754,0.05056179775280899,core_3_6,0.05056179775280899,0.9125417552383844,20.294428255722366,-5.521613006638134,5.521612895429225,-0.6177316741526326,0.06908593987245673,0.0,-22.001027422041073,-4.903881361446155,5,ablate_band_all_layers,20.912159929875,21.38329574788844,0.5055695796447127,6586.0
0.9125417552383844,0.0,full_1_21,0.0,0.9125417552383844,20.294428255722366,-22.424734700026573,22.424734700026573,-22.001027422041073,0.9369875493470999,0.0,-22.001027422041073,-0.42370742626404495,5,ablate_band_all_layers,42.29545567776344,0.0,0.0,6586.0
0.0786516853932584,0.833890069845126,high_14_21,0.833890069845126,0.9125417552383844,20.294428255722366,-0.5849490566815498,0.584949040463584,19.703811084829564,0.0001518372304889159,0.0,-22.001027422041073,-20.288760160045932,5,ablate_band_all_layers,0.5906171708928021,41.70483850687064,0.986035918955631,6586.0
0.8180989978742788,0.09444275736410568,low_1_5,0.09444275736410568,0.9125417552383844,20.294428255722366,-3.699397926087297,3.699397963156933,3.5091374800120523,0.02687518979653811,0.0,-22.001027422041073,-7.208535387564531,5,ablate_band_all_layers,16.785290775710315,25.510164902053127,0.6031419804625708,6586.0
0.9125417552383844,0.0,lowmid_1_13,0.0,0.9125417552383844,20.294428255722366,-21.9870322998121,21.987032892926283,-21.410409954591177,0.826601882781658,0.0,-22.001027422041073,-0.5766220764660597,5,ablate_band_all_layers,41.70483821031354,0.5906174674498956,0.013964088055928166,6586.0
0.8777710294564227,0.034770725781961734,mid_6_13,0.034770725781961734,0.9125417552383844,20.294428255722366,-7.649674995670266,7.649674995670266,-4.625119401298683,0.24415426662617673,0.0,-22.001027422041073,-3.024555594371584,5,ablate_band_all_layers,24.91954765702105,17.37590802074239,0.4108221023346879,6586.0
0.8533252353477072,0.059216519890677194,core_3_6,0.059216519890677194,0.9125417552383844,20.294428255722366,-5.506099586243547,5.506099437965002,-1.0888673682144772,0.1702095353780747,0.0,-22.001027422041073,-4.417232194860547,5,restore_band_all_layers,21.383295623936842,20.912160053826597,0.49443042328589987,6586.0
0.0,0.9125417552383844,full_1_21,0.9125417552383844,0.9125417552383844,20.294428255722366,-0.5068942364537169,0.5068942295031601,20.294428255722366,0.0001518372304889159,0.0,-22.001027422041073,-20.801322466690706,5,restore_band_all_layers,0.0,42.29545567776344,1.0,6586.0
0.9125417552383844,0.0,high_14_21,0.0,0.9125417552383844,20.294428255722366,-21.9870322998121,21.987032892926283,-21.410409954591177,0.826601882781658,0.0,-22.001027422041073,-0.5766220764660597,5,restore_band_all_layers,41.70483821031354,0.5906174674498956,0.013964088055928166,6586.0
0.8900698451260249,0.02247191011235955,low_1_5,0.02247191011235955,0.9125417552383844,20.294428255722366,-8.016213258059235,8.016212998571781,-5.215736442447758,0.272547828727604,0.0,-22.001027422041073,-2.800476815611477,5,restore_band_all_layers,25.510164698170122,16.785290979593313,0.3968580243578761,6586.0
0.0786516853932584,0.833890069845126,lowmid_1_13,0.833890069845126,0.9125417552383844,20.294428255722366,-0.5849490566815498,0.584949040463584,19.703811084829564,0.0001518372304889159,0.0,-22.001027422041073,-20.288760160045932,5,restore_band_all_layers,0.5906171708928021,41.70483850687064,0.986035918955631,6586.0
0.7767992711812937,0.1357424840570908,mid_6_13,0.1357424840570908,0.9125417552383844,20.294428255722366,-3.6900104669825198,3.6900104299128835,2.918520383258522,0.05648344974187671,0.0,-22.001027422041073,-6.608530850241042,5,restore_band_all_layers,17.375907872463845,24.919547805299594,0.5891779011710916,6586.0
0.8838445186759794,0.028697236562405103,core_3_6,0.028697236562405103,0.9125417552383844,27.737557502419907,-14.274155538856096,14.274155687134641,-11.76135020367541,0.2028545399331916,0.0,-29.32107376205208,-2.512805427854777,13,ablate_band_all_layers,39.498907706095316,17.55972355837667,0.3077487694541032,6586.0
0.9125417552383844,0.0,full_1_21,0.0,0.9125417552383844,27.737557502419907,-29.73936605583814,29.73936605583814,-29.32107376205208,0.9416945034922563,0.0,-29.32107376205208,-0.41829159641352753,13,ablate_band_all_layers,57.058631264471984,0.0,0.0,6586.0
0.12329183115699971,0.7892499240813847,high_14_21,0.7892499240813847,0.9125417552383844,27.737557502419907,-0.6262552798283053,0.6262552890957144,27.242527057868966,0.0,0.0,-29.32107376205208,-27.86878282886995,13,ablate_band_all_layers,0.4950304445509417,56.56360081992105,0.9913241794697734,6586.0
0.907986638323717,0.004555116914667477,low_1_5,0.004555116914667477,0.9125417552383844,27.737557502419907,-19.803889020033026,19.803889020033026,-17.68096833007516,0.2446097783176435,0.0,-29.32107376205208,-2.122920272924456,13,ablate_band_all_layers,45.418525832495064,11.64010543197692,0.20400253518217015,6586.0
0.9125417552383844,0.0,lowmid_1_13,0.0,0.9125417552383844,27.737557502419907,-29.37881668975858,29.378817875986943,-28.826044207172412,0.8549954448830853,0.0,-29.32107376205208,-0.5527737290526898,13,ablate_band_all_layers,56.56360170959232,0.49502955487966815,0.008675804937997212,6586.0
0.6448527178864257,0.2676890373519587,mid_6_13,0.2676890373519587,0.9125417552383844,27.737557502419907,-1.9909855633784022,1.9909856004480384,16.592482514993925,0.007895535985423625,0.0,-29.32107376205208,-18.583467475990737,13,ablate_band_all_layers,11.145074987425982,45.913556277046006,0.8046732853480566,6586.0
0.7310962648041299,0.18144549043425448,core_3_6,0.18144549043425448,0.9125417552383844,27.737557502419907,-2.8709768323669524,2.87097675822768,10.177833869903964,0.038262982083206803,0.0,-29.32107376205208,-13.048810702270915,13,restore_band_all_layers,17.559723632515944,39.498907631956044,0.6922512292465445,6586.0
0.0,0.9125417552383844,full_1_21,0.9125417552383844,0.9125417552383844,27.737557502419907,-0.5068942364537169,0.5068942295031601,27.737557502419907,0.0,0.0,-29.32107376205208,-28.244451861666793,13,restore_band_all_layers,0.0,57.058631264471984,1.0,6586.0
0.9125417552383844,0.0,high_14_21,0.0,0.9125417552383844,27.737557502419907,-29.37881668975858,29.378817875986943,-28.826044207172412,0.8549954448830853,0.0,-29.32107376205208,-0.5527737290526898,13,restore_band_all_layers,56.56360170959232,0.49502955487966815,0.008675804937997212,6586.0
0.6800789553598542,0.23246279987853022,low_1_5,0.23246279987853022,0.9125417552383844,27.737557502419907,-2.0480586890931045,2.04805863348865,16.097452292860805,0.010932280595201944,0.0,-29.32107376205208,-18.145511074627997,13,restore_band_all_layers,11.640105209559103,45.41852605491289,0.7959974687158873,6586.0
0.12329183115699971,0.7892499240813847,lowmid_1_13,0.7892499240813847,0.9125417552383844,27.737557502419907,-0.6262552798283053,0.6262552890957144,27.242527057868966,0.0,0.0,-29.32107376205208,-27.86878282886995,13,restore_band_all_layers,0.4950304445509417,56.56360081992105,0.9913241794697734,6586.0
0.9085939872456726,0.0039477679927118125,mid_6_13,0.0039477679927118125,0.9125417552383844,27.737557502419907,-20.030516317757364,20.030516021200274,-18.175998922904647,0.3337382326146371,0.0,-29.32107376205208,-1.8545174319223543,13,restore_band_all_layers,45.91355642532456,11.145074839147433,0.19532671205323854,6586.0
