accuracy_drop,baseline_accuracy,baseline_clean_logprob,baseline_margin,clean_accuracy,clean_logprob,clean_logprob_drop,clean_loss,clean_minus_corrupt_margin,corrupt_accuracy,corrupt_logprob,layer,layer_index,margin_drop,n,removed_component_power,source,target
0.15214090494989374,0.9125417552383844,-0.5068942364537169,0.0,0.7604008502884907,-0.7033487152553712,0.19645447880165434,0.7033487106216667,0.0,0.7604008502884907,-0.7033487152553712,layer_1,1,0.0,6586.0,0.3028464921151401,I,I
-0.000607348921955686,0.9125417552383844,-0.5068942364537169,0.0,0.9131491041603401,-0.5068485365426544,-4.5699911062513365e-05,0.5068485365426544,0.0,0.9131491041603401,-0.5068485365426544,layer_1,1,0.0,6586.0,0.00046652014489742967,I,N
0.05891284542969932,0.9125417552383844,-0.5068942364537169,0.0,0.8536289098086851,-0.6066046285296225,0.0997103920759056,0.6066046146285089,0.0,0.8536289098086851,-0.6066046285296225,layer_1,1,0.0,6586.0,0.030020087966432407,I,T
0.0007591861524445243,0.9125417552383844,-0.5068942364537169,0.0,0.9117825690859399,-0.5068671733023293,-2.706315138756299e-05,0.5068671918371475,0.0,0.9117825690859399,-0.5068671733023293,layer_1,1,0.0,6586.0,0.0004941851393886153,N,I
0.10628606134224106,0.9125417552383844,-0.5068942364537169,0.0,0.8062556938961434,-0.6046876232565409,0.09779338680282401,0.6046876000880181,0.0,0.8062556938961434,-0.6046876232565409,layer_1,1,0.0,6586.0,0.3328358534075299,N,N
0.00015183723048894926,0.9125417552383844,-0.5068942364537169,0.0,0.9123899180078955,-0.5068769573694734,-1.7279084243537746e-05,0.5068769596863256,0.0,0.9123899180078955,-0.5068769573694734,layer_1,1,0.0,6586.0,3.3196292841915043e-06,N,T
-0.0003036744609778985,0.9125417552383844,-0.5068942364537169,0.0,0.9128454296993623,-0.5152985392969284,0.008404302843211475,0.5152985346632238,0.0,0.9128454296993623,-0.5152985392969284,layer_1,1,0.0,6586.0,0.029992427646371684,T,I
0.0003036744609777875,0.9125417552383844,-0.5068942364537169,0.0,0.9122380807774066,-0.5068932795937287,-9.568599882436857e-07,0.5068932795937287,0.0,0.9122380807774066,-0.5068932795937287,layer_1,1,0.0,6586.0,3.098460740723437e-05,T,N
0.8792894017613119,0.9125417552383844,-0.5068942364537169,0.0,0.03325235347707258,-6.818686514540787,6.31179227808707,6.818686440401515,0.0,0.03325235347707258,-6.818686514540787,layer_1,1,0.0,6586.0,0.3033097305089335,T,T
0.14500455511691468,0.9125417552383844,-0.5068942364537169,0.0,0.7675372001214698,-0.666702428053767,0.1598081916000501,0.666702428053767,0.0,0.7675372001214698,-0.666702428053767,layer_2,2,0.0,6586.0,0.2953990214579814,I,I
0.0003036744609777875,0.9125417552383844,-0.5068942364537169,0.0,0.9122380807774066,-0.5068848138155273,-9.422638189593435e-06,0.5068848022312659,0.0,0.9122380807774066,-0.5068848138155273,layer_2,2,0.0,6586.0,2.2348769788562148e-05,I,N
0.006073489219556638,0.9125417552383844,-0.5068942364537169,0.0,0.9064682660188278,-0.514039142422136,0.007144905968419102,0.5140391493726928,0.0,0.9064682660188278,-0.514039142422136,layer_2,2,0.0,6586.0,0.003188686424426818,I,T
0.0,0.9125417552383844,-0.5068942364537169,0.0,0.9125417552383844,-0.5068899479601617,-4.288493555160144e-06,0.5068899456433095,0.0,0.9125417552383844,-0.5068899479601617,layer_2,2,0.0,6586.0,2.3999807447186002e-05,N,I
